第一部类　三洞真经
CH2727-6-85 必竟行 27-515
CH2727-7 卷七 27-515

CH2727-7-01 耳观 27-515
CH2727-7-02 琴 27-515
CH2727-7-03 棋 27-515
CH2727-7-04 书 27-515
CH2727-7-05 画 27-515
CH2727-7-06 容石堂邱道判 27-515
CH2727-7-07 寄徐灵谷休粮 27-515
CH2727-7-08 琴 27-515
CH2727-7-09 棋 27-515
CH2727-7-10 书 27-515
CH2727-7-11 画 27-516
CH2727-7-12 镜 27-516
CH2727-7-13 笔 27-516
CH2727-7-14 墨 27-516
CH2727-7-15 灵岩图 27-516
CH2727-7-16 咏生老病死 27-516
CH2727-7-17 生苦 27-516
CH2727-7-18 老苦 27-516
CH2727-7-19 病苦 27-516
CH2727-7-20 死苦 27-516
CH2727-7-21 形阴 27-517
CH2727-7-22 呵呵笑歌 27-517



CH2727-7-23 劝报父母十恩 27-518
CH2727-7-24 人天十善 27-519

CH2728 上阳子金丹大要 27-520
CH2728-0-1 目录 27-520
CH2728-0-2 序 27-521
CH2728-01 卷一　虚无〔自序〕 27-522
CH2728-02 卷二　虚无 27-528

CH2728-02-1 道德经序 27-528
CH2728-02-2 道可道章解 27-530
CH2728-03 卷三　上药 27-532
CH2728-03 精气神说上 27-532
CH2728-04 卷四　上药 27-535
CH2728-04 精气神说下 27-535
CH2728-05 卷五　妙用 27-539

CH2728-05-1 金丹妙用章 27-539
CH2728-05-2 药物妙用章 27-539
CH2728-05-3 鼎器妙用章 27-541
CH2728-05-4 采取妙用章 27-541
CH2728-06 卷六　妙用 27-544

CH2728-06-1 真土妙用章 27-544
CH2728-06-2 火候妙用章 27-545
CH2728-06-3 神化妙用章 27-546
CH2728-07 卷七　须知 27-547

CH2728-07-1 运火行符须知 27-547
CH2728-07-2 朔望弦晦须知 27-547
CH2728-07-3 防危护失须知 27-548
CH2728-07-4 卯酉刑德须知 27-549
CH2728-07-5 沐浴心虑须知 27-550
CH2728-07-6 生杀爻铢须知 27-550
CH2728-08 卷八　须知 27-551

CH2728-08-1 脱胎换鼎须知 27-551
CH2728-08-2 续须知七事 27-552
CH2728-09 卷九　积功 27-555

CH2728-09-1 金丹诗 27-555
CH2728-09-2 判惑歌 27-555
CH2728-09-3 咏剑 27-557
CH2728-09-4 醒眼诗 27-557
CH2728-10 卷十　积功 27-559
CH2728-10 道德经转语 27-559
CH2728-11 卷十一　累行 27-563

CH2728-11-1 与至阳子田至斋 27-563
CH2728-11-2 与初阳子王冰田 27-563
CH2728-11-3 与一阳子潘太初 27-564
CH2728-11-4 与九宫碧阳子车兰谷 27-565
CH2728-12 卷十二　累行 27-567

CH2728-12-1 与宗阳子明至蟾 27-567
CH2728-12-2 与玄阳子欧阳玉渊 27-568



CH2728-12-3 与复阳子欧阳玉田全阳子周草窗 27-569
CH2728-12-4 与心阳子余观古 27-570
CH2728-13 卷十三　发真 27-572

CH2728-13-1 生死事大 27-572
CH2728-13-2 圣人之德 27-572
CH2728-13-3 天地之大 27-573
CH2728-13-4 道本阴阳 27-573
CH2728-13-5 金液还丹 27-574
CH2728-13-6 仙佛长生 27-577
CH2728-13-7 道非言显 27-578
CH2728-14 卷十四　发真 27-579

CH2728-14-1 脱胎去留 27-579
CH2728-14-2 三教一家 27-580
CH2728-14-3 世人皆得 27-581
CH2728-14-4 观水得道 27-582
CH2728-14-5 见性成佛 27-583
CH2728-15 卷十五　越格 27-584

CH2728-15-1 与王祥翁 27-584
CH2728-15-2 普说 27-586
CH2728-16 卷十六　超宗 27-589
CH2728-16 见性成佛 27-589
CH2729 上阳子金丹大要图 27-595

CH2729-01 太极图 27-595
CH2729-02 太极分判图 27-595
CH2729-03 先天太极图 27-595
CH2729-04 后天太极图 27-595
CH2729-05 金丹九还图 27-595
CH2729-06 金丹七返图 27-595
CH2729-07 金丹五行之图 27-595
CH2729-08 太极顺逆图 27-595
CH2729-09 元气体象图 27-595
CH2729-10 金丹三五一图 27-596
CH2729-11 清浊动静之图 27-596
CH2729-12 宝珠之图 27-596
CH2729-13 金丹四象之图 27-596
CH2729-14 金丹八卦之图 27-597
CH2729-15 形物相感之图 27-597
CH2729-16 明镜丹道图 27-597
CH2729-17 紫阳丹房宝鉴之图 27-597
CH2729-18 悬胎鼎 27-598
CH2729-19 满庭芳 27-598
CH2729-20 偃月炉 27-598
CH2729-21 汞铅名 27-598
CH2729-22 紫清金丹火候诀 27-598
CH2729-23 丹法参同十八之诀 27-599
CH2729-24 林神凤金丹法象投壶图 27-599
CH2730 上阳子金丹大要列仙志 27-600



CH2730-01 东华帝君 27-600
CH2730-02 正阳帝君 27-600
CH2730-03 纯阳帝君 27-600
CH2730-04 海蟾帝君 27-600
CH2730-05 重阳帝君 27-600
CH2730-06 丹阳帝君 27-600
CH2730-07 长真真君 27-601
CH2730-08 长生真君 27-601
CH2730-09 长春真君 27-601
CH2730-10 玉阳真君 27-601
CH2730-11 广宁真君 27-602
CH2730-12 清静元君 27-602
CH2730-13 黄房公 27-602
CH2730-14 太虚真人 27-602
CH2730-15 紫琼真人 27-602
CH2730-16 缘督真人 27-602
CH2731 上阳子金丹大要仙派 27-604
CH2731-1 仙派 27-604
CH2731-2 锺吕二仙庆诞仪 27-604
CH2731-3 法事 27-605
CH2731-4 锺离祖师贺表 27-606
CH2731-5 纯阳祖师贺寿表 27-606
CH2731-6 送神文 27-607
CH2732 修炼须知 27-608
CH2732-1 运火行持 27-608
CH2732-2 朔望弘晦 27-608
CH2732-3 防伪护失 27-609
CH2732-4 卯酉刑德 27-610
CH2732-5 沐浴心虑 27-611
CH2732-6 生杀爻铢 27-611
CH2732-7 修心七事 27-612
CH2733 陈虚白规中指南 27-615
CH2733-1 卷上 27-615
CH2733-1-1 止念第一 27-615
CH2733-1-2 采药第二 27-615
CH2733-1-3 识炉鼎第三 27-615
CH2733-1-4 入药起火第四 27-615
CH2733-1-5 坎离交姤第五 27-615
CH2733-1-6 乾坤交姤第六 27-615
CH2733-1-7 攒簇火候第七 27-616
CH2733-1-8 阳神脱胎第八 27-616
CH2733-1-9 忘神合虚第九 27-617
CH2733-2 卷下 27-617

CH2733-2-01 内丹三要 27-617
CH2733-2-02 玄牝图 27-617
CH2733-2-03 药物图 27-617
CH2733-2-04 火候图 27-617



CH2733-2-05 玄牝 27-619
CH2733-2-06 药物 27-619
CH2733-2-07 火候 27-621
CH2733-2-08 后序 27-621

CH2734 鸣鹤余音 27-623
CH2734-0-0 目录 27-623
CH2734-0-1 鸣鹤余音 叙 27-626
CH2734-01 卷一 27-626

CH2734-01-01 解红 27-626
CH2734-01-02 昊音子 27-626
CH2734-01-03 无愁可解 27-626
CH2734-01-04 无俗念 27-626
CH2734-01-05 解红 27-627
CH2734-01-06 [正宫]黑漆弩 27-627
CH2734-01-07 月中仙 27-627
CH2734-01-08 春从天上来 27-627
CH2734-01-09 解红 27-627
CH2734-01-10 二郎神慢 27-628
CH2734-01-11 金人捧露盘 27-628
CH2734-01-12 甘露滴乔松 27-628
CH2734-01-13 雨霖淋 27-628
CH2734-01-14 玩瑶台 27-628
CH2734-01-15 瑶台第一层 27-628
CH2734-01-16 瑶台月 27-629
CH2734-01-17 无俗念 27-629
CH2734-01-18 满庭芳 27-630
CH2734-01-19 酹江月 27-630
CH2734-01-20 水调歌头 27-630
CH2734-01-21 孤鹰 27-630
CH2734-01-22 集贤宾 27-630
CH2734-01-23 齐天乐 27-631
CH2734-01-24 永遇乐 27-631
CH2734-01-25 宣静三台 27-631
CH2734-01-26 咏武夷 27-631
CH2734-01-27 咏白莲 27-632
CH2734-01-28 万年春 27-632
CH2734-01-29 逍遥乐 27-632
CH2734-01-30 珍珠帘 27-632
CH2734-01-31 27-632
CH2734-01-32 望蓬莱 27-632
CH2734-01-33 四块玉 27-632
CH2734-02 卷二 27-633

CH2734-02-1 苏武慢 27-633
CH2734-02-2 苏武慢 27-635
CH2734-02-3 满江红 27-637
CH2734-02-4 望江南-春 27-638
CH2734-02-5 望江南-夏 27-638



CH2734-02-6 望江南-秋 27-638
CH2734-02-7 望江南-冬 27-638
CH2734-02-8 月上海棠 27-638
CH2734-02-9 山亭柳 27-639
CH2734-03 卷三 27-640

CH2734-03-1 满庭芳 27-640
CH2734-03-2 满庭芳-修炼 27-642
CH2734-03-3 沁园春 27-644
CH2734-03-4 烛影摇红 27-647
CH2734-03-5 临江仙 27-647
CH2734-03-6 莺啼序 27-647
CH2734-04 卷四 27-647

CH2734-04-01 苏幕遮 27-647
CH2734-04-02 [南曲]生查子 27-648
CH2734-04-03 解冤结 27-648
CH2734-04-04 喜迁莺 27-648
CH2734-04-05 爇心香 27-648
CH2734-04-06 昭君怨 27-649
CH2734-04-07 霜天晓角 27-649
CH2734-04-08 促拍满路花 27-649
CH2734-04-09 蓦山溪 27-649
CH2734-04-10 浪淘沙 27-649
CH2734-04-11 永乐遇 27-649
CH2734-04-12 跨金鸾 27-649
CH2734-04-13 踏莎行 27-650
CH2734-04-14 喝马一枝花 27-650
CH2734-04-15 探春令 27-650
CH2734-04-16 黄鹤洞仙(带喝马) 27-650
CH2734-04-17 无梦令 27-650
CH2734-04-18 柳梢青 27-650
CH2734-04-19 一剪梅 27-650
CH2734-04-20 醉桃源 27-650
CH2734-04-21 女冠子 27-650
CH2734-04-22 玉交枝 27-650
CH2734-04-23 归朝歌 27-651
CH2734-04-24 六么令 27-651
CH2734-04-25 贺新凉 27-651
CH2734-04-26 红芍药 27-651
CH2734-04-27 宣靖三台 27-651
CH2734-04-28 太常引 27-651
CH2734-04-29 青玉案 27-651
CH2734-04-30 贺圣朝 27-652
CH2734-04-31 解佩令 27-652
CH2734-04-32 粉蝶儿 27-652
CH2734-04-33 武陵春 27-652
CH2734-04-34 拾菜娘 27-652
CH2734-04-35 二郎神 27-652



CH2734-04-36 青梅引 27-652
CH2734-04-37 玉蝴蝶 27-652
CH2734-04-38 玉液泉 27-652
CH2734-04-39 炼丹砂(浪淘沙) 27-653
CH2734-04-40 点绛唇 27-653
CH2734-05 卷五 27-653

CH2734-05-01 满路花岩 27-653
CH2734-05-02 江神子 27-653
CH2734-05-03 曲江秋 27-653
CH2734-05-04 梅花引 27-654
CH2734-05-05 上升花 27-654
CH2734-05-06 步蟾宫 27-654
CH2734-05-07 双双燕 27-654
CH2734-05-08 无愁可解 27-654
CH2734-05-09 木兰花慢 27-654
CH2734-05-10 自乐 27-654
CH2734-05-11 上平西 27-654
CH2734-05-12 凤栖梧 27-655
CH2734-05-13 行香子 27-655
CH2734-05-14 虞美人 27-655
CH2734-05-15 枕屏子 27-655
CH2734-05-16 卜筭子 27-655
CH2734-05-17 喜迁莺 27-655
CH2734-05-18 水龙吟 27-657
CH2734-05-19 瑞鹤仙 27-657
CH2734-05-20 鬬鹌鹑 27-657
CH2734-05-21 梦游仙 27-658
CH2734-05-22 锦堂春 27-658
CH2734-05-23 神光灿 27-658
CH2734-05-24 蜀葵花 27-659
CH2734-06 卷六 27-659

CH2734-06-01 八声甘州 27-659
CH2734-06-02 踏雪行 27-659
CH2734-06-03 柳梢青 27-660
CH2734-06-04 梅花引 27-660
CH2734-06-05 望梅花 27-660
CH2734-06-06 绣停针 27-661
CH2734-06-07 贺圣朝 27-661
CH2734-06-08 行香子 27-661
CH2734-06-09 辊金丸 27-661
CH2734-06-10 两只鴈儿 27-662
CH2734-06-11 步步娇 27-662
CH2734-06-12 挂金索 27-663
CH2734-06-13 挂金索 27-663
CH2734-06-14 绣薄眉 27-664
CH2734-06-15 [商调]梧叶儿调 27-664
CH2734-06-16 满庭芳 27-665



CH2734-07 卷七 27-666
CH2734-07-1 [双调]风入松 27-666
CH2734-07-2 [南吕]金字经 27-667
CH2734-07-3 [中吕]迎仙客 27-667
CH2734-07-4 遍地锦 27-669
CH2734-07-5 梧桐树 27-669
CH2734-07-6 步步高 27-669
CH2734-07-7 南乡子 27-670
CH2734-07-8 一寸金 27-671
CH2734-08 卷八 27-672

CH2734-08-01 西江月 27-672
CH2734-08-02 永遇乐 27-674
CH2734-08-03 渔家傲 27-674
CH2734-08-04 促拍满路花 27-675
CH2734-08-05 江神子(慢) 27-675
CH2734-08-06 春从天上来 27-675
CH2734-08-07 玉抱肚 27-675
CH2734-08-08 水调歌头 27-675
CH2734-08-09 沁园春 27-676
CH2734-08-10 苏幕遮 27-676
CH2734-08-11 解佩令 27-676
CH2734-08-12 [双调]鴈儿落得胜令 27-676
CH2734-08-13 [双调]甜水令 27-676
CH2734-08-14 [双调]折桂令 27-676
CH2734-08-15 [双调]鴈儿落得胜令 27-676
CH2734-08-16 [双调]甜水令 27-677
CH2734-08-17 [双调]水仙子 27-677
CH2734-08-18 纯阳真人百字图 27-677
CH2734-08-19 朗然子刘真人诗 27-677
CH2734-09 卷九 27-679

CH2734-09-01 太空歌 27-679
CH2734-09-02 悟真歌 27-679
CH2734-09-03 证道歌 27-679
CH2734-09-04 得道歌 27-679
CH2734-09-05 心地赋 27-680
CH2734-09-06 八义禅赋 27-680
CH2734-09-07 诚心诚意赋 27-681
CH2734-09-08 清闲赋 27-681
CH2734-09-09 全真赋 27-681
CH2734-09-10 尊道赋 27-682
CH2734-09-11 祖庭记 27-682
CH2734-09-12 升堂文 27-683
CH2734-09-13 茶文 27-684
CH2734-09-14 七真禅赞 27-684
CH2734-09-15 逍遥吟 27-685
CH2734-09-16 堂规榜 27-686
CH2734-09-17 清闲跋 27-686



CH2735 全真清规 27-687
CH2735-01 指蒙规式 27-687
CH2735-02 簪披次序 27-687
CH2735-03 游方礼师 27-688
CH2735-04 灶门戒腊 27-688
CH2735-05 坐钵规式 27-688
CH2735-06 三不起身 27-689
CH2735-07 全真体用 27-689
CH2735-08 钵室赋 27-690
CH2735-09 教主重阳帝君责罚榜 27-690
CH2735-10 子真子升堂文 27-691
CH2735-11 长春真人规榜 27-691
CH2735-12 朗然子家书 27-692
CH2736 全真坐钵捷法 27-693
CH2737 还真集 27-695
CH2737-0 还真集序 27-695
CH2737-1 卷上 27-696

CH2737-1-01 金丹妙旨 27-696
CH2737-1-02 口诀 27-696
CH2737-1-03 金丹直指 27-696
CH2737-1-04 人身三宝 27-697
CH2737-1-05 人身三关 27-697
CH2737-1-06 半升铛 27-697
CH2737-1-07 五行变化图 27-697
CH2737-1-08 大道心易图 27-698
CH2737-1-09 朝屯暮蒙图 27-698
CH2737-1-10 周天火候图 27-699
CH2737-1-11 内丹三要 27-699
CH2737-2 卷中 27-700

论
CH2737-2-01 还丹秘要论 27-700
CH2737-2-02 性命混融论 27-701
CH2737-2-03 惩忿窒欲论 27-702

说
CH2737-2-04 梦说 27-703
CH2737-2-05 性说 27-703

歌
CH2737-2-06 回风混合歌九章 27-704
CH2737-2-07 修真歌 27-705
CH2737-2-08 混然歌 27-705
CH2737-2-09 中阳歌 27-705
CH2737-2-10 悟真歌 27-706
CH2737-2-11 还丹歌 27-706
CH2737-2-12 步虚调五章 27-706
CH2737-3 卷下 27-707
CH2737-3 卷下　诗 27-707

七言律诗



CH2737-3-01 述金丹工夫三十六首 27-707
杂咏三十四首 27-710

CH2737-3-02 授龚悟真口诀七首 27-710
CH2737-3-03 授许道真口诀 27-710
CH2737-3-04 授龙正中口诀 27-710
CH2737-3-05 赠陈与奇内景丹诀 27-710
CH2737-3-06 赠蔡了空 27-710
CH2737-3-07 送道士乡秋云归住鳌山 27-710
CH2737-3-08 赠一阳子 27-710
CH2737-3-09 赠萧彦敬进道口诀 27-711
CH2737-3-10 赠全真李嗣道 27-711
CH2737-3-11 寄龚悟真进道工夫 27-711
CH2737-3-12 赠黄守中符火内旨 27-711
CH2737-3-13 赠懒然子 27-711
CH2737-3-14 赠昊云谷 27-711
CH2737-3-15 授混玄子内炼玄旨 27-711
CH2737-3-16 赠李彦高丹诀 27-711
CH2737-3-17 授沈存心口诀 27-711
CH2737-3-18 和竹泉居士见奇修真诗韵十首 27-711
CH2737-3-19 止庵为吴德英赋 27-712
CH2737-3-20 复渊为武当宫郭道士赋 27-712

绝句
CH2737-3-21 述符火还丹妙诀八十一首 27-712
CH2737-3-22 游仙吟十九首 27-716

词
沁园春

CH2737-3-23 赠龚全美口诀 27-717
CH2737-3-24 赠混真子口诀 27-717
CH2737-3-25 三教一理 27-717
CH2737-3-26 全真家风 27-717
CH2737-3-27 渔 27-717
CH2737-3-28 樵 27-717
CH2737-3-29 耕 27-717
CH2737-3-30 牧 27-718
CH2737-3-31 龙 27-718
CH2737-3-32 虎 27-718
CH2737-3-33 真风子 27-718

水调歌头
CH2737-3-34 授混中子口诀 27-718
CH2737-3-35 授回阳子口诀 27-718

满庭芳
CH2737-3-36 满庭芳 27-718

满江红
CH2737-3-37 示众 27-719

百字令
CH2737-3-38 儒宗 27-719
CH2737-3-39 释宗 27-719



CH2737-3-40 道宗 27-719
CH2737-3-41 [南吕]金字经 27-719
CH2737-3-42 炼丹砂 27-719
CH2737-3-43 西江月 27-720

CH2738 道玄篇 27-721
CH2738-01 大道章第一 27-721
CH2738-02 玄极章第二 27-721
CH2738-03 赋命章第三 27-721
CH2738-04 明理章第四 27-721
CH2738-05 妙用章第五 27-721
CH2738-06 人物章第六 27-721
CH2738-07 寓形章第七 27-721
CH2738-08 龙虎章第八 27-721
CH2738-09 正位章第九 27-721
CH2738-10 谦德章第十 27-721
CH2738-11 君臣章第十一 27-722
CH2738-12 道德章第十二 27-722
CH2738-13 寄禅章第十三 27-722
CH2738-14 保守章第十四 27-722
CH2738-15 虚明章第十五 27-722
CH2738-16 全角章第十六 27-722
CH2738-17 礼乐章第十七 27-722
CH2738-18 神气章第十八 27-722
CH2738-19 圆明章第十九 27-722
CH2738-20 不足章第二十 27-722
CH2738-21 绝学章第二十一 27-723
CH2738-22 中庸章第二十二 27-723
CH2738-23 威仪章第二十三 27-723
CH2738-24 运化章第二十四 27-723
CH2738-25 通玄章第二十五 27-723
CH2738-26 道要章第二十六 27-723
CH2738-27 得失章第二十七 27-723
CH2738-28 宁心章第二十八 27-723
CH2738-29 忘机章第二十九 27-723
CH2738-30 真空章第三十 27-723
CH2738-31 有无章第三十一 27-723
CH2738-32 重道章第三十二 27-723
CH2738-33 治道章第三十三 27-724
CH2738-34 观道章第三十四 27-724
CH2738-35 虚无章第三十五 27-724
CH2738-36 常心章第三十六 27-724
CH2738-37 忠孝章第三十七 27-724
CH2738-38 正性章第三十八 27-724
CH2738-39 执中章第三十九 27-724
CH2738-40 体用章第四十 27-724
CH2738-41 神虚章第四十一 27-724
CH2738-42 通达章第四十二 27-724



CH2738-43 吉凶章第四十三 27-724
CH2738-44 知止章第四十四 27-725
CH2738-45 务本章第四十五 27-725
CH2738-46 自然章第四十六 27-725
CH2738-47 感应章第四十七 27-725
CH2738-48 自恃章第四十八 27-725
CH2738-49 得泰章第四十九 27-725
CH2738-50 造化章第五十 27-725
CH2738-51 佩言章第五十一 27-725
CH2738-52 无争章第五十二 27-725
CH2738-53 道化章第五十三 27-726
CH2738-54 公心章第五十四 27-726
CH2738-55 正人章第五十五 27-726
CH2739 青天歌注释 27-727
CH2740 崔公入药镜注解 27-730
CH2740-1 崔公入药镜注解序 27-730
CH2740-2 崔公入药镜注解 27-731
CH2741 随机应化录 27-737
CH2741-0 随机应化录序 27-737
CH2741-1 卷上 27-737

CH2741-2-01 卷下 27-743
师游处所咏诗词歌赞

CH2741-2-02 戒世诗 27-747
CH2741-2-03 示众 27-747
CH2741-2-04 题锦屏山 27-747
CH2741-2-05 三教一源 27-747
CH2741-2-06 劝勉 27-747
CH2741-2-07 自咏 27-747
CH2741-2-08 行 27-748
CH2741-2-09 住 27-748
CH2741-2-10 坐 27-748
CH2741-2-11 卧 27-748
CH2741-2-12 指迷 27-748
CH2741-2-13 饼 27-748
CH2741-2-14 栗 27-748
CH2741-2-15 网兜 27-748
CH2741-2-16 照路灯 27-748
CH2741-2-17 黑豆爆 27-748
CH2741-2-18 搧风袋 27-748
CH2741-2-19 触窗蝇 27-748
CH2741-2-20 扑灯蛾 27-748
CH2741-2-21 拂子 27-748
CH2741-2-22 清凉伞 27-748
CH2741-2-23 鞋 27-748
CH2741-2-24 [中吕]迎仙客 27-748
CH2741-2-25 满庭芳 27-749
CH2741-2-26 喜迁莺 27-749



CH2741-2-27 修真养命歌 27-749
CH2741-2-28 自叹歌 27-749
CH2741-2-29 慵懒歌 27-750
CH2741-2-30 赞道德真经 27-750
CH2741-2-31 赞法华分典 27-750
CH2741-2-32 赞清静经 27-750
CH2741-2-33 赞盘若心经 27-750
CH2741-2-34 别众 27-750
CH2741-2-35 辞世 27-750

CH2742 群仙要语纂集 27-751
CH2742-1 群仙要语纂集上 27-751
CH2742-1-1 日用诀 27-751
CH2742-1-2 关尹子节要 27-751
CH2742-1-3 谭景升化书 27-755
CH2742-1-4 吴尊师玄纲论 27-757
CH2742-1-5 诸章节要 27-757
CH2742-2 群仙要语纂集下 27-760

CH2742-2-01 虚靖天师心说 27-760
CH2742-2-02 大道歌 27-760
CH2742-2-03 重阳祖师-论打坐 27-761
CH2742-2-04 重阳祖师-论降心 27-761
CH2742-2-05 重阳祖师-论炼性 27-761
CH2742-2-06 重阳祖师-论超三界 27-761
CH2742-2-07 坐忘铭 27-761
CH2742-2-08 文逸曹仙姑大道歌 27-761
CH2742-2-09 还真集 27-762
CH2742-2-10 论识心悟性 27-763
CH2742-2-11 论法界 27-763
CH2742-2-12 论二车搬运 27-763
CH2742-2-13 白玉蟾玄关显秘论 27-763
CH2742-2-14 马丹阳直言 27-765

CH2743 原阳子法语 27-766
CH2743-1 卷上 27-766

CH2743-1-01 还丹金液歌并叙 27-766
CH2743-1-02 真道归一偈 27-769
CH2743-1-03 纪学 27-769
CH2743-1-04 题林下高风图 27-769
CH2743-1-05 题授受图 27-770
CH2743-1-06 勉进道偈 27-770
CH2743-1-07 记畴昔李尊师授玄一之道 27-770
CH2743-1-08 道剑 27-770
CH2743-1-09 奉和李尊师 27-771
CH2743-1-10 和答福书记 27-771
CH2743-1-11 答知白炼师议论道法偈三首 27-771
CH2743-1-12 磨子颂答胡知观 27-771
CH2743-1-13 和巴陵郑宰题岳阳纯阳飞吟亭偈句五首 27-771
CH2743-2 卷下 27-772



CH2743-2-01 警学偈十六首 27-772
CH2743-2-02 简故人 27-772
CH2743-2-03 题仙弈图 27-772
CH2743-2-04 雩阳王赓文问性命之旨答颂二首 27-772
CH2743-2-05 自赞 27-772
CH2743-2-06 为徒属结冠褐 27-772
CH2743-2-07 日记题辞 27-773
CH2743-2-08 福慧因果说示上清诸道契 27-773
CH2743-2-09 率湖广武当宫诸学者刊道德经文始经题辞 27-775
CH2743-2-10 坐化颂 27-775

序号 经目 页码
CH28 第二十八册目录 28-

道教类书
CH2801 无上秘要-正统道藏太平部 28-001

CH2801-00 目录 28-001
CH2801-001 卷一(缺)
CH2801-002 卷二(缺)
CH2801-003 卷三 28-004

CH2801-003-1 日品 28-004
CH2801-003-2 月品 28-005
CH2801-003-3 星品 28-006
CH2801-004 卷四 28-008

CH2801-004-1 三界品 28-008
CH2801-004-1-1三界品 28-008
CH2801-004-1-2第一欲界飞空之音 28-008
CH2801-004-1-3第二色界魔王之章 28-009
CH2801-004-1-4第三无色界魔王歌曰 28-009
CH2801-004-2 九地品 28-009
CH2801-004-2-1九地品 28-009
CH2801-004-2-2九地相去里数 28-009
CH2801-004-3 灵山品 28-009
CH2801-004-4 林树品 28-011
CH2801-004-5 山洞品 28-012
CH2801-004-6 洞天品 28-012
CH2801-004-7 神水品 28-013
CH2801-005 卷五 28-013

CH2801-005-1 人品 28-013
CH2801-005-2 身神品 28-016
CH2801-005-3 人寿品 28-018
CH2801-006 卷六 28-019

CH2801-006-1 劫运品 28-019
CH2801-006-2 帝王品 28-021
CH2801-006-3 洲国品 28-022
CH2801-006-4 论意品 28-022
CH2801-006-5 王政品 28-023
CH2801-007 卷七　修真养生品 28-024



CH2801-008 卷八(缺)
CH2801-009 卷九 28-027

CH2801-009-1 灵官升降品 28-027
CH2801-009-2 众圣会议品
CH2801-010 卷十 28-031

CH2801-010-1 (前佚) 28-031
CH2801-010-2 洞玄智慧罪根 28-031
CH2801-011 卷十一(缺)
CH2801-012 卷十二(缺)
CH2801-013 卷十三(缺)
CH2801-014 卷十四(缺)
CH2801-015 卷十五　众圣本迹品中 28-032

CH2801-015-1 青灵始老君 28-032
CH2801-015-2 丹灵真老君 28-033
CH2801-015-3 元灵元老君 28-033
CH2801-015-4 皓灵黄老君 28-033
CH2801-015-5 五灵玄老君 28-034
CH2801-015-6 赤明天帝 28-035
CH2801-016 卷十六　众圣本迹品下 28-036

CH2801-016-1 三十六天王 28-036
CH2801-016-2 三十二天帝 28-038
CH2801-016-3 三十六土皇 28-038
CH2801-017 卷十七　众圣冠服品上 28-040

CH2801-017-1 道君冠服 28-040
CH2801-017-2 元君冠服 28-040
CH2801-017-3 五极帝君冠服 28-041
CH2801-017-4 五帝玉司君冠服 28-041
CH2801-017-5 灵童衣服 28-042
CH2801-017-6 洞天混化君冠服 28-042
CH2801-017-7 洞地混化君冠服 28-042
CH2801-017-8 洞渊混化君冠服 28-043
CH2801-018 卷十八　众圣冠服品下 28-043

CH2801-018-01 日帝冠服 28-043
CH2801-018-02 月夫人冠服 28-043
CH2801-018-03 九星君冠服 28-044
CH2801-018-04 九星内妃冠服 28-044
CH2801-018-05 九星夫人冠服 28-045
CH2801-018-06 五星帝君冠服 28-045
CH2801-018-07 五星夫人冠服 28-045
CH2801-018-08 五帝冠服 28-045
CH2801-018-09 五岳君冠服 28-046
CH2801-018-10 四海神王冠服 28-046
CH2801-018-11 魔王冠服 28-046
CH2801-019 卷十九　天帝众真仪驾品 28-047

CH2801-019-1 众真仪驾 28-047
CH2801-019-2 三十六土皇仪驾 28-048
CH2801-019-3 十方神王仪驾 28-049



CH2801-019-4 八方消魔大王仪驾 28-049
CH2801-019-5 五岳帝君仪驾 28-050
CH2801-019-6 五老君仪驾 28-050
CH2801-019-7 五方帝仪驾 28-050
CH2801-019-8 四海神王仪驾 28-050
CH2801-020 卷二十　仙歌品 28-051

CH2801-020-1 仙歌品 28-051
CH2801-020-2 阳歌九章 28-052
CH2801-020-3 阴歌六章 28-052
CH2801-021 卷二十一　仙都宫室品 28-056
CH2801-022 卷二十二　三界宫府品 28-058
CH2801-023 卷二十三 28-066

CH2801-023-1 真灵治所品 28-066
CH2801-023-2 正一炁治品 28-067
CH2801-024 卷二十四 28-069

CH2801-024-1 三宝品 28-069
CH2801-024-2 真文品 28-069
CH2801-024-2-1真文品 28-070
CH2801-024-2-2东方九炁 青天真文 28-071
CH2801-024-2-3南方三炁 丹天真文 28-072
CH2801-024-2-4中央黄天真文 28-072
CH2801-024-2-5西方七炁 素天真文 28-073
CH2801-024-2-6北方五炁 玄天真文 28-073
CH2801-024-3 天瑞品 28-074
CH2801-024-4 地应品 28-074
CH2801-025 卷二十五　三皇要用品 28-076

CH2801-025-1 三皇要用品 28-076
CH2801-025-2 天皇文第一法 28-076
CH2801-025-3 地皇文第二法 28-077
CH2801-025-4 人皇文第三法 28-078
CH2801-025-5 三皇内音 28-078
CH2801-025-6 天水飞腾内符 28-078
CH2801-025-7 三皇内书秘文 28-078
CH2801-025-8 三皇传文 28-078
CH2801-026 卷二十六　灵宝符效品 28-079

CH2801-026-1 东方青帝灵宝赤书玉篇文 28-079
CH2801-026-2 南方赤帝灵宝赤书玉篇文 28-080
CH2801-026-3 中央黄帝灵宝赤书玉篇文 28-080
CH2801-026-4 西方白帝灵宝赤书玉篇文 28-080
CH2801-026-5 北方黑帝灵宝赤书玉篇文 28-081
